,lDongRegnCd,lDongRegnNm,lDongSignguCd,lDongSignguNm
0,11,서울특별시,110,종로구
1,11,서울특별시,140,중구
2,11,서울특별시,170,용산구
3,11,서울특별시,200,성동구
4,11,서울특별시,215,광진구
5,11,서울특별시,230,동대문구
6,11,서울특별시,260,중랑구
7,11,서울특별시,290,성북구
8,11,서울특별시,305,강북구
9,11,서울특별시,320,도봉구
10,11,서울특별시,350,노원구
11,11,서울특별시,380,은평구
12,11,서울특별시,410,서대문구
13,11,서울특별시,440,마포구
14,11,서울특별시,470,양천구
15,11,서울특별시,500,강서구
16,11,서울특별시,530,구로구
17,11,서울특별시,545,금천구
18,11,서울특별시,560,영등포구
19,11,서울특별시,590,동작구
20,11,서울특별시,620,관악구
21,11,서울특별시,650,서초구
22,11,서울특별시,680,강남구
23,11,서울특별시,710,송파구
24,11,서울특별시,740,강동구
25,26,부산광역시,110,중구
26,26,부산광역시,140,서구
27,26,부산광역시,170,동구
28,26,부산광역시,200,영도구
29,26,부산광역시,230,부산진구
30,26,부산광역시,260,동래구
31,26,부산광역시,290,남구
32,26,부산광역시,320,북구
33,26,부산광역시,350,해운대구
34,26,부산광역시,380,사하구
35,26,부산광역시,410,금정구
36,26,부산광역시,440,강서구
37,26,부산광역시,470,연제구
38,26,부산광역시,500,수영구
39,26,부산광역시,530,사상구
40,26,부산광역시,710,기장군
41,27,대구광역시,110,중구
42,27,대구광역시,140,동구
43,27,대구광역시,170,서구
44,27,대구광역시,200,남구
45,27,대구광역시,230,북구
46,27,대구광역시,260,수성구
47,27,대구광역시,290,달서구
48,27,대구광역시,710,달성군
49,27,대구광역시,720,군위군
50,28,인천광역시,110,중구
51,28,인천광역시,140,동구
52,28,인천광역시,177,미추홀구
53,28,인천광역시,185,연수구
54,28,인천광역시,200,남동구
55,28,인천광역시,237,부평구
56,28,인천광역시,245,계양구
57,28,인천광역시,260,서구
58,28,인천광역시,710,강화군
59,28,인천광역시,720,옹진군
60,29,광주광역시,110,동구
61,29,광주광역시,140,서구
62,29,광주광역시,155,남구
63,29,광주광역시,170,북구
64,29,광주광역시,200,광산구
65,30,대전광역시,110,동구
66,30,대전광역시,140,중구
67,30,대전광역시,170,서구
68,30,대전광역시,200,유성구
69,30,대전광역시,230,대덕구
70,31,울산광역시,110,중구
71,31,울산광역시,140,남구
72,31,울산광역시,170,동구
73,31,울산광역시,200,북구
74,31,울산광역시,710,울주군
75,36110,세종특별자치시,36110,세종특별자치시
76,41,경기도,110,수원시
77,41,경기도,111,수원시 장안구
78,41,경기도,113,수원시 권선구
79,41,경기도,115,수원시 팔달구
80,41,경기도,117,수원시 영통구
81,41,경기도,130,성남시
82,41,경기도,131,성남시 수정구
83,41,경기도,133,성남시 중원구
84,41,경기도,135,성남시 분당구
85,41,경기도,150,의정부시
86,41,경기도,170,안양시
87,41,경기도,171,안양시 만안구
88,41,경기도,173,안양시 동안구
89,41,경기도,190,부천시
90,41,경기도,192,부천시 원미구
91,41,경기도,194,부천시 소사구
92,41,경기도,196,부천시 오정구
93,41,경기도,210,광명시
94,41,경기도,220,평택시
95,41,경기도,250,동두천시
96,41,경기도,270,안산시
97,41,경기도,271,안산시 상록구
98,41,경기도,273,안산시 단원구
99,41,경기도,280,고양시
100,41,경기도,281,고양시 덕양구
101,41,경기도,285,고양시 일산동구
102,41,경기도,287,고양시 일산서구
103,41,경기도,290,과천시
104,41,경기도,310,구리시
105,41,경기도,360,남양주시
106,41,경기도,370,오산시
107,41,경기도,390,시흥시
108,41,경기도,410,군포시
109,41,경기도,430,의왕시
110,41,경기도,450,하남시
111,41,경기도,460,용인시
112,41,경기도,461,용인시 처인구
113,41,경기도,463,용인시 기흥구
114,41,경기도,465,용인시 수지구
115,41,경기도,480,파주시
116,41,경기도,500,이천시
117,41,경기도,550,안성시
118,41,경기도,570,김포시
119,41,경기도,590,화성시
120,41,경기도,610,광주시
121,41,경기도,630,양주시
122,41,경기도,650,포천시
123,41,경기도,670,여주시
124,41,경기도,800,연천군
125,41,경기도,820,가평군
126,41,경기도,830,양평군
127,43,충청북도,110,청주시
128,43,충청북도,111,청주시 상당구
129,43,충청북도,112,청주시 서원구
130,43,충청북도,113,청주시 흥덕구
131,43,충청북도,114,청주시 청원구
132,43,충청북도,130,충주시
133,43,충청북도,150,제천시
134,43,충청북도,720,보은군
135,43,충청북도,730,옥천군
136,43,충청북도,740,영동군
137,43,충청북도,745,증평군
138,43,충청북도,750,진천군
139,43,충청북도,760,괴산군
140,43,충청북도,770,음성군
141,43,충청북도,800,단양군
142,44,충청남도,130,천안시
143,44,충청남도,131,천안시 동남구
144,44,충청남도,133,천안시 서북구
145,44,충청남도,150,공주시
146,44,충청남도,180,보령시
147,44,충청남도,200,아산시
148,44,충청남도,210,서산시
149,44,충청남도,230,논산시
150,44,충청남도,250,계룡시
151,44,충청남도,270,당진시
152,44,충청남도,710,금산군
153,44,충청남도,760,부여군
154,44,충청남도,770,서천군
155,44,충청남도,790,청양군
156,44,충청남도,800,홍성군
157,44,충청남도,810,예산군
158,44,충청남도,825,태안군
159,46,전라남도,110,목포시
160,46,전라남도,130,여수시
161,46,전라남도,150,순천시
162,46,전라남도,170,나주시
163,46,전라남도,230,광양시
164,46,전라남도,710,담양군
165,46,전라남도,720,곡성군
166,46,전라남도,730,구례군
167,46,전라남도,770,고흥군
168,46,전라남도,780,보성군
169,46,전라남도,790,화순군
170,46,전라남도,800,장흥군
171,46,전라남도,810,강진군
172,46,전라남도,820,해남군
173,46,전라남도,830,영암군
174,46,전라남도,840,무안군
175,46,전라남도,860,함평군
176,46,전라남도,870,영광군
177,46,전라남도,880,장성군
178,46,전라남도,890,완도군
179,46,전라남도,900,진도군
180,46,전라남도,910,신안군
181,47,경상북도,110,포항시
182,47,경상북도,111,포항시 남구
183,47,경상북도,113,포항시 북구
184,47,경상북도,130,경주시
185,47,경상북도,150,김천시
186,47,경상북도,170,안동시
187,47,경상북도,190,구미시
188,47,경상북도,210,영주시
189,47,경상북도,230,영천시
190,47,경상북도,250,상주시
191,47,경상북도,280,문경시
192,47,경상북도,290,경산시
193,47,경상북도,730,의성군
194,47,경상북도,750,청송군
195,47,경상북도,760,영양군
196,47,경상북도,770,영덕군
197,47,경상북도,820,청도군
198,47,경상북도,830,고령군
199,47,경상북도,840,성주군
200,47,경상북도,850,칠곡군
201,47,경상북도,900,예천군
202,47,경상북도,920,봉화군
203,47,경상북도,930,울진군
204,47,경상북도,940,울릉군
205,48,경상남도,120,창원시
206,48,경상남도,121,창원시 의창구
207,48,경상남도,123,창원시 성산구
208,48,경상남도,125,창원시 마산합포구
209,48,경상남도,127,창원시 마산회원구
210,48,경상남도,129,창원시 진해구
211,48,경상남도,170,진주시
212,48,경상남도,220,통영시
213,48,경상남도,240,사천시
214,48,경상남도,250,김해시
215,48,경상남도,270,밀양시
216,48,경상남도,310,거제시
217,48,경상남도,330,양산시
218,48,경상남도,720,의령군
219,48,경상남도,730,함안군
220,48,경상남도,740,창녕군
221,48,경상남도,820,고성군
222,48,경상남도,840,남해군
223,48,경상남도,850,하동군
224,48,경상남도,860,산청군
225,48,경상남도,870,함양군
226,48,경상남도,880,거창군
227,48,경상남도,890,합천군
228,50,제주특별자치도,110,제주시
229,50,제주특별자치도,130,서귀포시
230,51,강원특별자치도,110,춘천시
231,51,강원특별자치도,130,원주시
232,51,강원특별자치도,150,강릉시
233,51,강원특별자치도,170,동해시
234,51,강원특별자치도,190,태백시
235,51,강원특별자치도,210,속초시
236,51,강원특별자치도,230,삼척시
237,51,강원특별자치도,720,홍천군
238,51,강원특별자치도,730,횡성군
239,51,강원특별자치도,750,영월군
240,51,강원특별자치도,760,평창군
241,51,강원특별자치도,770,정선군
242,51,강원특별자치도,780,철원군
243,51,강원특별자치도,790,화천군
244,51,강원특별자치도,800,양구군
245,51,강원특별자치도,810,인제군
246,51,강원특별자치도,820,고성군
247,51,강원특별자치도,830,양양군
248,52,전북특별자치도,110,전주시
249,52,전북특별자치도,111,전주시 완산구
250,52,전북특별자치도,113,전주시 덕진구
251,52,전북특별자치도,130,군산시
252,52,전북특별자치도,140,익산시
253,52,전북특별자치도,180,정읍시
254,52,전북특별자치도,190,남원시
